part_number,name_he,name_en,manufacturer,category,side,part_type,notes,is_active,cross_refs,fitments
15208AA160,מסנן שמן — סובארו XV,מסנן שמן,Subaru,מנוע / סינון,,oil_filter,"מק""ט מקורי, רמת דגם. מקור: זרע פערי דגמים.",1,OEM:15208AA160:Subaru,סובארו:XV:2012:2023:1.6 FB16
13780-69L00,מסנן אוויר — סוזוקי SWIFT,מסנן אוויר,Suzuki,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:13780-69L00:Suzuki,סוזוקי:SWIFT:2010:2017
95860-62J00,מסנן מזגן — סוזוקי SWIFT,מסנן מזגן,Suzuki,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:95860-62J00:Suzuki,סוזוקי:SWIFT:2010:2017
13780-61M00,מסנן אוויר — סוזוקי SX4 CROSSOVER,מסנן אוויר,Suzuki,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: זרע פערי דגמים.",1,OEM:13780-61M00:Suzuki,סוזוקי:SX4 CROSSOVER:2013:2017:1.6 M16A
95860-61M00,מסנן מזגן — סוזוקי SX4 CROSSOVER,מסנן מזגן,Suzuki,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: זרע פערי דגמים.",1,OEM:95860-61M00:Suzuki,סוזוקי:SX4 CROSSOVER:2013:2017:1.6 M16A
16510-61A30,מסנן שמן — סוזוקי SX4 CROSSOVER,מסנן שמן,Suzuki,מנוע / סינון,,oil_filter,"מק""ט מקורי, רמת דגם. מקור: זרע פערי דגמים.",1,OEM:16510-61A30:Suzuki,סוזוקי:SX4 CROSSOVER:2013:2017:1.6 M16A
16510-61A31,מסנן שמן — סוזוקי SX4 CROSSOVER,מסנן שמן,Suzuki,מנוע / סינון,,oil_filter,"מק""ט מקורי, רמת דגם. מקור: זרע פערי דגמים.",1,OEM:16510-61A31:Suzuki,סוזוקי:SX4 CROSSOVER:2013:2017:1.6 M16A
04C129620A,מסנן אוויר — סיאט ARONA,מסנן אוויר,VW,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: זרע פערי דגמים.",1,OEM:04C129620A:VW,סיאט:ARONA:2017:2026:1.0 TSI
2Q0819669,מסנן מזגן — סיאט ARONA,מסנן מזגן,VW,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: זרע פערי דגמים.",1,OEM:2Q0819669:VW,סיאט:ARONA:2017:2026:1.0 TSI
6R0819653,מסנן מזגן — סיאט ARONA,מסנן מזגן,VW,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: זרע פערי דגמים.",1,OEM:6R0819653:VW,סיאט:ARONA:2017:2026:1.0 TSI
